student_id,home_lat,home_lon,target_arrival_time,class_dismissal_time,has_car,seats_available
STU-0001,36.166797,-85.510133,08:30,14:15,True,2
STU-0002,36.1645,-85.508826,09:30,14:15,True,2
STU-0003,36.167343,-85.512925,07:45,14:15,True,2
STU-0004,36.17051,-85.513325,08:30,11:15,True,2
STU-0005,36.164153,-85.504383,09:30,11:15,True,2
STU-0006,36.164153,-85.501963,08:30,14:15,True,2
STU-0007,36.170713,-85.508321,09:30,12:45,False,0
STU-0008,36.167776,-85.503533,07:45,12:45,True,3
STU-0009,36.163302,-85.50639,10:30,16:00,True,2
STU-0010,36.166963,-85.510872,09:30,14:15,True,2
STU-0011,36.163324,-85.506391,08:30,12:45,True,2
STU-0012,36.163315,-85.501153,10:30,16:00,False,0
STU-0013,36.165875,-85.508159,08:30,12:45,False,0
STU-0014,36.158079,-85.501035,10:30,16:00,False,0
STU-0015,36.15876,-85.519662,09:30,11:15,True,2
STU-0016,36.162966,-85.504341,10:30,14:15,True,2
STU-0017,36.161336,-85.507613,07:45,14:15,True,2
STU-0018,36.166137,-85.509331,08:30,12:45,False,0
STU-0019,36.161715,-85.507592,09:30,12:45,False,0
STU-0020,36.159891,-85.516848,08:30,12:45,False,0
STU-0021,36.170302,-85.508978,09:30,14:15,False,0
STU-0022,36.164183,-85.50641,08:30,11:15,True,3
STU-0023,36.165244,-85.501421,08:30,12:45,False,0
STU-0024,36.159846,-85.510307,08:30,16:00,False,0
STU-0025,36.163031,-85.511599,09:30,12:45,True,2
STU-0026,36.165401,-85.510234,08:30,11:15,False,0
STU-0027,36.160836,-85.503925,08:30,11:15,False,0
STU-0028,36.166359,-85.506537,08:30,16:00,False,0
STU-0029,36.162827,-85.510358,10:30,12:45,True,2
STU-0030,36.163945,-85.505715,10:30,12:45,False,0
STU-0031,36.162823,-85.507568,10:30,16:00,True,2
STU-0032,36.171701,-85.503688,08:30,16:00,True,3
STU-0033,36.164951,-85.511125,08:30,14:15,False,0
STU-0034,36.161174,-85.509459,09:30,14:15,True,2
STU-0035,36.167976,-85.509745,09:30,16:00,True,2
STU-0036,36.160584,-85.514515,08:30,16:00,False,0
STU-0037,36.165756,-85.506682,09:30,14:15,True,2
STU-0038,36.157911,-85.506838,08:30,14:15,False,0
